col0,Number of directional interactions,col2,col3
OR,<40% or >60%,<20% or > 80%,Difference (%variation)
1.2,254,40,214 (84%)
1.3,206,36,170 (83%)
1.4,175,31,144 (82%)
1.5,146,28,118 (81%)
1.6,120,27,93 (78%)
1.7,99,24,75 (76%)
1.8,85,20,65 (76%)
1.9,71,16,55 (77%)
2,63,12,51 (81%)
