col,Women_Multimorbidity,Women,Women_T2DM,Women_1,Men_Multimorbidity,Men,Men_T2DM,Men_1,Total_Multimorbidity,Total,Total_T2DM,Total_1
Age-group,N,%,N,%,N,%,N,%,N,%,N,%
18-49,412803,33.1%,7812,0.6%,317811,24.4%,13447,1.0%,730614,28.7%,21259,0.8%
50-69,542122,76.9%,56689,8.0%,476195,70.5%,94063,13.9%,1018317,73.8%,150752,10.9%
70+,437387,94.4%,103287,22.3%,305261,93.8%,95504,29.4%,742648,94.2%,198791,25.2%
Total,1392312,57.6%,167788,6.9%,1099267,47.8%,203014,8.8%,2491579,52.8%,370802,7.9%
